Comune;Vino;Atto;Gazzetta Ufficiale;Latitudine;Longitudine
Lozzo di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4859656;12.444622
Lugo di Vicenza;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7464074;11.5298703
Lusiana;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7853188;11.5753777
Malo;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.6612592;11.4086111
Mansue;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8232096;12.53547
Marano di Valpolicella;Amarone Valpolicella, Amarone Valpolicella Classico, Recioto Valpolicella, Recioto Valpolicella Classico;D. M. 24/03/2010;n. 85 del 13/04/2010;45.556093;10.915437
Marano Vicentino;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.694074;11.4284629
Marcon;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.5615912;12.2981034
Mareno di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.840879;12.35071
Marostica;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7446009;11.6554899
Martellago;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5460521;12.1602063
Maser;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.8084629;11.9761111
Masera di Padova;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.320228;11.8641901
Maserada sul Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.749912;12.320028
Masi;Merlara, Prosecco;D. M. 21/04/2007;n. 102 del 05/05/2009;45.1098518;11.4903333
Mason Vicentino;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.719537;11.6078148
Massanzago;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5573703;12.0084629
Meduna di Livenza;Lison, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8068888;12.6148518
Megliadino San Fidenzio;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2184629;11.517037
Megliadino San Vitale;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1975185;11.527037
Mel;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.0645417;12.0881012
Meolo;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.620197;12.452579
Merlara;Merlara, Prosecco;D. M. 21/04/2007;n. 102 del 05/05/2009;45.1673518;11.4423518
Mestrino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4418888;11.761574
Mezzane di Sotto;Amarone Valpolicella, Recioto Soave, Recioto Valpolicella, Soave, Soave Superiore, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.482329;11.1289612
Miane;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.9454624;12.096527
Mira;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4368092;12.1312599
Mirano;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4922312;12.1082797
Mogliano Veneto;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.5613413;12.2363309
Molvena;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7449453;11.614705
Monastier di Treviso;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.650872;12.435401
Monfumo;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.8310911;11.9202637
Monselice;Bagnoli, Colli Euganei, Colli Euganei Fior D Arancio, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2395286;11.7503996
Montagnana;Merlara, Prosecco;D. M. 21/04/2007;n. 102 del 05/05/2009;45.2336096;11.4672416
Monte di Malo;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.6620555;11.3623518
Montebello Vicentino;Colli Berici, Monti Lessini, Prosecco, Recioto di Gambellara, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4575185;11.384537
Montebelluna;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.777547;12.0464467
Montecchia di Crosara;Amarone Valpolicella, Monti Lessini, Recioto Soave, Recioto Valpolicella, Soave, Soave Superiore, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.4854814;11.2554814
Montecchio Maggiore;Colli Berici, Monti Lessini, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.504691;11.405833
Montecchio Precalcino;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.6667407;11.5647037
Monteforte d Alpone;Arcole, Recioto Soave, Recioto Soave Classico, Soave, Soave Superiore, Soave Superiore Classico;D.M. 18/11/2010;n. 283 del 03/12/2010;45.4182962;11.2848703
Montegalda;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4470313;11.6761139
Montegaldella;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.437037;11.6717407
Montegrotto Terme;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.3318641;11.7837949
Monteviale;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.5614074;11.459074
Monticello Conte Otto;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5942609;11.5848712
Montorso Vicentino;Monti Lessini, Prosecco, Recioto di Gambellara, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.4918888;11.3612592
Morgano;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6481871;12.1033133
Moriago della Battaglia;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8710423;12.0787482
Morsano al Tagliamento;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8626666;12.9307962
Mossano;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4194534;11.5556874
Motta di Livenza;Lison, Lison-Pramaggiore, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7775;12.6087592
Musile di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6178148;12.565
Mussolente;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7801666;11.8073703
Nanto;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4345797;11.5780289
Negrar;Amarone Valpolicella, Amarone Valpolicella Classico, Recioto Valpolicella, Recioto Valpolicella Classico, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.5306253;10.9383009
Nervesa della Battaglia;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.8231296;12.2059444
Noale;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5504814;12.0722037
Nogarole Vicentino;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5611045;11.2897544
Nove;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7231296;11.6787592
Noventa di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6607962;12.5347037
Noventa Padovana;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4153333;11.952037
Noventa Vicentina;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.290568;11.540067
Oderzo;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7812715;12.493628
Orgiano;Arcole, Colli Berici, Prosecco, Vicenza;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3489259;11.4642407
Ormelle;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7803333;12.4231481
Orsago;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.930672;12.423573
Ospedaletto Euganeo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.223188;11.611146
Ospitale di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.3283109;12.3232381
Paderno del Grappa;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 04/02/2010;n. 39 del 17/02/2010;45.8294031;11.8596419
Padova;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4095683;11.8765886
Paese;Piave, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6776252;12.1563908
Paese;Piave Malanotte;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6776252;12.1563908
Pastrengo;Bardolino, Bardolino Superiore, Bianco di Custoza;D. M. 08/11/2011;n. 274 del 24/11/2011;45.494074;10.8009629
Pedavena;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.039614;11.880379
Pedemonte;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9087778;11.3071295
Pederobba;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.877998;11.954953
Perarolo di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.3970697;12.355464
Pernumia;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2584268;11.7889653
Pescantina;Amarone Valpolicella, Recioto Valpolicella, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n 85 del 13/04/2010;45.4827249;10.8675485
Peschiera del Garda;Bardolino, Bardolino Superiore, Bianco di Custoza, Lugana;D. M. 08/11/2011;n. 279 del 30/11/2011;45.4393871;10.6920548
Piacenza d'Adige;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1296696;11.5503639
Pianezze;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7407962;11.6279814
Pianiga;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.456129;12.030934
Piazzola sul Brenta;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5419832;11.786335
Pieve d'Alpago;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1677522;12.3531863
Pieve di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4285225;12.3740656
Pieve di Soligo;Colli di Conegliano, Colli di Conegliano Refrontolo Passito, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.900022;12.171471
Piombino Dese;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6067222;11.9979814
Piove di Sacco;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2961677;12.034827
Piovene Rocchette;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7586111;11.4359444
Poiana Maggiore;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2914259;11.5036111
Polverara;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3103148;11.957037
Ponso;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1926194;11.5870697
Ponte di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.714745;12.464508
Ponte nelle Alpi;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1831481;12.2792407
Ponte San Nicolo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3639863;11.9363944
Pontelongo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2481481;12.0257962
Ponzano Veneto;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.715701;12.2026929
Portobuffole;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8562355;12.5377327
Portogruaro;Lison, Lison Classico, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7750301;12.8378287
Posina;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7916795;11.2632067
Possagno;Colli Asolani Prosecco, Montello � Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 04/02/2010;n. 39 del 17/02/2010;45.8534444;11.8742407
Pove del Grappa;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7992407;11.7309444
Povegliano;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.761094;12.2037683
Pozzoleone;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6489001;11.6792475
Pozzonovo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1973703;11.7928333
Pramaggiore;Lison, Lison Classico, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.8153148;12.7372037
Pravisdomini;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.82;12.6931481
Preganziol;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6022462;12.2351883
Pressana;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.2854302;11.4051234
Puos d'Alpago;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1359629;12.3484629
Quarto d Altino;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.5787777;12.3728333
Quero;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.921976;11.931723
Quinto di Treviso;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.646012;12.167235
Quinto Vicentino;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.573336;11.626879
Recoaro Terme;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7051666;11.2256481
Refrontolo;Colli di Conegliano, Colli di Conegliano Refrontolo Passito, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.9250185;12.2100185
Resana;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.633612;11.955503
Revine Lago;Colli di Conegliano, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9914259;12.2287592
Riese Pio X;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7300185;11.92
Rivamonte Agordino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.2539074;12.0239074
Rivoli Veronese;Bardolino Superiore, Terradeiforti, Valdadige;D. M. 24/05/2010;n. 141 del 19*06/2010;45.5715613;10.8119287
Roana;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8759927;11.4631317
Rocca Pietore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4348518;11.9778148
Romano d Ezzelino;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7962711;11.758312
Ronca;Monti Lessini, Recioto Soave, Soave, Soave Superiore;D. M. 08/11/2011;n. 272 del 22/11/2011;45.479073;11.289127
Roncade;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6280609;12.374799
Rosa;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.727668;11.763215
Rossano Veneto;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7067222;11.807037
Rotzo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8628148;11.3973703
Roveredo di Gua�;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.274074;11.4453333
Rovolon;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.3653936;11.6623252
Rubano;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4218888;11.8082962
Saccolongo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.403815;11.74714
Salcedo;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7578827;11.5682402
Saletto;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.226028;11.532773
Salgareda;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.704485;12.492175
Salzano;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.520931;12.1056333
San Biagio di Callalta;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6854522;12.377217
San Bonifacio;Arcole, Soave;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3962331;11.2702317
San Dona di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.6319754;12.5662747
San Fior;Colli di Conegliano, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.920953;12.357412
San Germano dei Berici;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4020182;11.4706939
San Giorgio delle Pertiche;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.540939;11.909437
San Giorgio in Bosco;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.59063;11.806621
San Giovanni Ilarione;Monti Lessini, Recioto Soave, Soave, Soave Superiore;D.M. 18/11/2010;n. 283 del 03/12/2010;45.521574;11.2373703
San Gregorio nelle Alpi;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1048507;12.029358
San Martino Buon Albergo;Amarone Valpolicella, Arcole, Recioto Soave, Recioto Valpolicella, Soave, Soave Superiore, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.4222409;11.0933924
San Martino di Lupari;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6507462;11.8537002
San Mauro di Saline;Amarone Valpolicella, Recioto Valpolicella, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.5654546;11.1128957
San Michele al Tagliamento;Lison, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7641516;12.9949504
San Nazario;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8404814;11.6906296
San Nicolo di Comelico;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5818801;12.5286103
San Pietro di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5769213;12.5926473
San Pietro di Feletto;Colli di Conegliano, Colli di Conegliano Refrontolo Passito, Conegliano Valdobbiadene Prosecco, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.9163513;12.2507734
San Pietro in Cariano;Amarone Valpolicella, Amarone Valpolicella Classico, Recioto Valpolicella, Recioto Valpolicella Classico, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.5212592;10.884074
San Pietro in Gu;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.611626;11.672566
San Pietro Mussolino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5864074;11.2597037
San Pietro Viminario;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2443888;11.8173518
San Polo di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7925185;12.3943888
San Stino di Livenza;Lison, Lison Classico, Lison-Pramaggiore;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7315843;12.6836963
San Tomaso Agordino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.3817407;11.9754814
San Vendemiano;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.8867406;12.3516602
San Vito di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4612777;12.2082962
San Vito di Leguzzano;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.689311;11.3737722
San Zenone degli Ezzelini;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.7814259;11.8382962
Sandrigo;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.6606657;11.6031127
Sant Ambrogio di Valpolicella;Amarone Valpolicella, Amarone Valpolicella Classico, Recioto Valpolicella, Recioto Valpolicella Classico, Valpolicella, Valpolicella Ripasso;D. M. 24/03/2010;n. 85 del 13/04/2010;45.5218888;10.8373703
Sant Angelo di Piove di Sacco;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.347501;12.002186
Sant Elena;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1872037;11.7128148
Sant Urbano;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1281426;11.6478056
Santa Giustina;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.0835526;12.042891
Santa Giustina in Colle;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5632826;11.9066793
Santa Lucia di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.845059;12.280807
Santa Margherita d Adige;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.213406;11.5553586
Santa Maria di Sala;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5044042;12.0350483
Santo Stefano di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5584629;12.5520555
Santo Stino di Livenza;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7315843;12.6836963
Santorso;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7361111;11.3928148
Saonara;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3662592;11.9859629
Sappada;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5675;12.6853333
Sarcedo;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.702776;11.5304227
Sarego;Arcole, Colli Berici, Prosecco, Vicenza;D. M. 02/11/2006;n. 267 del 16/11/2006;45.4074536;11.4050722
Sarmede;Colli di Conegliano, Colli di Conegliano Torchiato di Fregona, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.9776666;12.3853333
Schiavon;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6973703;11.6461111
Schio;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.7134629;11.3584444
Scorze;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5713997;12.107987
Sedico;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1112624;12.0969587
Segusino;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9179814;11.9567407
Selva di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4510084;12.0386119
Selvazzano Dentro;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.3893676;11.7894607
Seren del Grappa;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9887843;11.8427247
Sernaglia della Battaglia;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8754964;12.1316081
Sesto al Reghena;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.846604;12.815421
Silea;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.654671;12.296841
Soave;Arcole, Recioto Soave, Recioto Soave Classico, Soave, Soave Superiore, Soave Superiore Classico;D.M. 18/11/2010;n. 283 del 03/12/2010;45.422037;11.2476666
Solagna;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8201666;11.7164074
Solesino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.178717;11.74381
Sommacampagna;Bardolino, Bardolino Superiore, Bianco di Custoza;D. M. 08/11/2011;n. 274 del 24/11/2011;45.4074969;10.8410188
Sona;Bardolino, Bardolino Superiore, Bianco di Custoza;D. M. 08/11/2011;n. 274 del 24/11/2011;45.4344795;10.8323621
Sospirolo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1417407;12.072037
Sossano;Arcole, Colli Berici, Prosecco, Vicenza;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3612592;11.5131481
Soverzene;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.204537;12.3042407
Sovizzo;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.5276666;11.4472037
Sovramonte;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.059537;11.7876666
Spinea;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4903518;12.1681244
Spresiano;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.779459;12.256104
Stanghella;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.135311;11.757446
Stra;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.406167;12.015217
Susegana;Colli di Conegliano, Conegliano Valdobbiadene Prosecco, Piave, Piave Malanotte, Prosecco, Venezia;D. M. 14/09/2011;n. 231 del 04/10/2011;45.851956;12.2507649
Taibon Agordino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.302037;12.0107962
Tambre;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1273703;12.4204814
