"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Cornuda";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8317846";"12.0080604";
"Monfumo";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8310911";"11.9202637";
"Asolo";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7932962";"11.9128333";
"Caerano di San Marco";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7862777";"12.0039259";
"Cavaso del Tomba";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8617407";"11.8995555";
"Crocetta del Montello";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8255760";"12.0356150";
"Fonte";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7849210";"11.8724490";
"Giavera del Montello";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7948518";"12.1695370";
"Maser";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8084629";"11.9761111";
"Montebelluna";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7775470";"12.0464467";
"Nervesa della Battaglia";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8231296";"12.2059444";
"Paderno del Grappa";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8294031";"11.8596419";
"Pederobba";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8779980";"11.9549530";
"Possagno";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.8534444";"11.8742407";
"San Zenone degli Ezzelini";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7814259";"11.8382962";
"Volpago del Montello";"Colli Asolani Prosecco";"D. M. 04/02/2010";"n. 39 del 17/02/2010";"45.7782962";"12.1154814";
"Conegliano";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.8881481";"12.3050185";
"Susegana";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.8519560";"12.2507649";
"Pieve di Soligo";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9000220";"12.1714710";
"Farra di Soligo";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.8963310";"12.0941930";
"Refrontolo";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9250185";"12.2100185";
"San Pietro di Feletto";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9163513";"12.2507734";
"Miane";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9454624";"12.0965270";
"Follina";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9525000";"12.1206296";
"Cison di Valmarino";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9673703";"12.1442407";
"Revine Lago";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9914259";"12.2287592";
"Tarzo";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9728333";"12.2340740";
"Vittorio Veneto";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9798115";"12.3033131";
"Fregona";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"46.0043888";"12.3412777";
"Sarmede";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9776666";"12.3853333";
"Cappella Maggiore";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9781296";"12.3423518";
"Cordignano";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9528333";"12.4148703";
"Colle Umberto";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9399657";"12.3399807";
"San Fior";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9209530";"12.3574120";
"San Vendemiano";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.8867406";"12.3516602";
"Vidor";"Colli di Conegliano";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.8615074";"12.0387297";
"Refrontolo";"Colli di Conegliano Refrontolo Passito";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9250185";"12.2100185";
"Pieve di Soligo";"Colli di Conegliano Refrontolo Passito";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9000220";"12.1714710";
"San Pietro di Feletto";"Colli di Conegliano Refrontolo Passito";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9163513";"12.2507734";
"Fregona";"Colli di Conegliano Torchiato di Fregona";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"46.0043888";"12.3412777";
"Sarmede";"Colli di Conegliano Torchiato di Fregona";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9776666";"12.3853333";
"Cappella Maggiore";"Colli di Conegliano Torchiato di Fregona";"D. M. 14/09/2011";"n. 231 del 04/10/2011";"45.9781296";"12.3423518";
"Arqua Petrarca";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2700515";"11.7167922";
"Galzignano Terme";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3074851";"11.7314141";
"Torreglia";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3354100";"11.7319250";
"Abano Terme";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3605420";"11.7893806";
"Montegrotto Terme";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3318641";"11.7837949";
"Battaglia Terme";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2881296";"11.7931296";
"Due Carrare";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2935978";"11.8191407";
"Monselice";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2395286";"11.7503996";
"Baone";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2445370";"11.6892407";
"Este";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2276375";"11.6565594";
"Cinto Euganeo";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2757962";"11.6628148";
"Lozzo Atestino";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2870260";"11.6277160";
"Vo";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3292222";"11.6425000";
"Rovolon";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3653936";"11.6623252";
"Cervarese Santa Croce";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.4244800";"11.6868240";
"Teolo";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3485285";"11.6722939";
"Selvazzano Dentro";"Colli Euganei Fior D Arancio";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3893676";"11.7894607";
